Q,A
"9-1-1, what's your emergency?","We have an emergency here. I just got burned by gasoline, please, hurry up."
"9-1-1, what's your emergency?","My girlfriend, she's not breathing! My name is Thomas. Please have the ambulance stop."
"9-1-1, what's your emergency?","It's Braybrook, that's B-R-A-Y, B-R-O-O-K-E, Place. Fayetteville, North Carolina, 28314. It's Braybrook Place, B-R-A-Y, B-R-O-O-K-E, Place, Fayetteville, North Carolina, 28314."
"9-1-1, what's your emergency?","I don't really know where I'm at. But one of my customers just got robbed and he got shot. Yeah, I'm on 62. It's Morris Avenue, or Morris Street."
"9-1-1, what's your emergency?",We've been robbed. We've been beaten. I'm bleeding. Seven hundred.
"9-1-1, what's your emergency?",Everybody's been stopped. We're at the Rainier Lighting and Electric Supply Building. Off Pacific Avenue.
"9-1-1, what's your emergency?","Yes, it is. I'm on 29, heading back towards Fosters, and I just saw a car driving down the wrong lane. Yes, but I've turned around to catch up with him and see what's going on."
"9-1-1, what's your emergency?",Hurry up! Call 911. Here. I knew the ammo around.
"911, what's your emergency?","Hi, I'm reporting an airplane crash at SFO. Yeah, we were hiking on a trail outside of Pacifica, and we just heard a giant explosion. We're with a couple other hikers, and they saw that an airplane had crashed right there at SFO."
"9-1-1, what's your emergency?","We heard a noise and looked in. The garage door was up. I thought the gentleman was backing out. I went back to my house, but he never backed out. I came back over, and his driver's side window is shattered, and he's injured and can't answer. I'm calling from [caller provides phone number]."
"9-1-1, what's your emergency?","Yes, I've been attacked by a man in the woods while I was hunting. Please send the police to my location immediately. I cannot stay on the phone. I have to cover him. Please send the police immediately."
"9-1-1, what's your emergency?","Oh, yes. I need an officer at 2007 Callison Highway. Oh, I'm just stressed out, and I'm about to take my life."
"9-1-1, what's your emergency?","We are at the corner of Riley Thompson and Automobile Road. There's a lady lying in the road. I think she was hit by a car. Yes, on Automobile Road, near 4300 Automobile."
"9-1-1, what's your emergency?","Yes, I need an ambulance immediately at 18 Victoria Circle. We have a gunshot wound, accidental, in the household."
"9-1-1, what's your emergency?","We're having a baby, and we're in Boulder Creek. We need to get to Sutter. My girlfriend's going into labor, her contractions are three to five minutes apart, or a little bit closer."
"9-1-1, what's your emergency?",Somebody was trying to rob us. She's outside right now.
"9-1-1, what's your emergency?","Please, my brother, he was playing with this gun, and he was pointing it at himself. He shot himself! I’m so scared, I’m so scared. It's 1123 Ujama Drive."
"9-1-1, what's your emergency?","Brooke, 911, my husband's having a heart attack. Okay."
"9-1-1, what's your emergency?","Help, this guy's chasing me down. South Beverly Grove."
"9-1-1, what's your emergency?",We had several police officers here earlier and did a report. They told him to stay away from the house and said to call 911 if he came back.
"9-1-1, what's your emergency?","Yes, ma'am, could you send the police and an ambulance to Main Street Grill, please? Main Street Grill."
"9-1-1, what's your emergency?",Help me. Help me. My son is missing. I'm going crazy.
"9-1-1, what's your emergency?","Can you send a cop over here to my house? Hurry up, because this is a blightly. He came to knock it on my door earlier, and he left, and now he's back out there again to stare at my back door. I'm so scared. Please, hurry."
"9-1-1, what's your emergency?","911, please, fire ambulance. Uh, police. This is Dale Ford. Fast record 211 North 7th. I've called a burglar in my shop."
"9-1-1, what's your emergency?","Hey, can you get an ambulance and a cop over to 59 Alderwood Drive? Alderwood. A-L-D-E-R-W-O-O-D. She just attacked me with a knife, and I had to shoot her."
"9-1-1, what's your emergency?",Now we want a margin to do. What are you reporting? He was tied up by Dorman.
"9-1-1, what's your emergency?","Can you hear me? Can you hear me? Okay, 25 Arch Street, apartment four. You know what I'm talking about?"
